Size,Linear Search,Binary Search
10000, 8.72375e+06, 46133
20000, 1.71867e+07, 47604
30000, 2.52605e+07, 49073
40000, 3.50541e+07, 52851
50000, 4.53282e+07, 55362
60000, 5.2099e+07, 58332
70000, 6.33717e+07, 57632
80000, 8.44504e+07, 58183
90000, 8.26168e+07, 59680
100000, 9.09373e+07, 61919
110000, 9.30292e+07, 63046
120000, 1.1472e+08, 63786
130000, 1.2417e+08, 63719
140000, 1.27367e+08, 65343
150000, 1.38467e+08, 70284
160000, 1.79811e+08, 65750
170000, 1.74109e+08, 68441
180000, 1.7308e+08, 74061
190000, 1.87675e+08, 74586
200000, 1.94229e+08, 76688
210000, 2.0601e+08, 77940
220000, 2.13085e+08, 78815
230000, 2.07317e+08, 80037
240000, 2.49584e+08, 82462
250000, 2.50677e+08, 82163
260000, 2.7679e+08, 80405
270000, 2.61762e+08, 86926
280000, 2.83897e+08, 78873
290000, 2.62843e+08, 93160
300000, 2.86497e+08, 93900
310000, 3.11896e+08, 95017
320000, 3.09714e+08, 94119
330000, 3.31183e+08, 89156
340000, 3.08352e+08, 93490
350000, 3.78557e+08, 97122
360000, 3.59093e+08, 99448
370000, 3.60694e+08, 93768
380000, 3.8617e+08, 95959
390000, 4.01745e+08, 97412
400000, 3.86759e+08, 97545
410000, 3.88546e+08, 97003
420000, 4.11776e+08, 96967
430000, 4.00682e+08, 102378
440000, 4.33343e+08, 98960
450000, 4.42024e+08, 99760
460000, 4.67039e+08, 101356
470000, 4.73812e+08, 98870
480000, 4.43565e+08, 100087
490000, 4.41727e+08, 113246
500000, 4.69501e+08, 104530
510000, 4.97352e+08, 103688
520000, 5.50592e+08, 102016
530000, 5.27254e+08, 102629
540000, 5.69657e+08, 100892
550000, 5.6707e+08, 101382
560000, 5.21073e+08, 109815
570000, 6.08424e+08, 110757
580000, 6.20723e+08, 111589
590000, 5.34415e+08, 101976
600000, 6.21267e+08, 102752
610000, 6.3763e+08, 110992
620000, 6.32057e+08, 110667
630000, 6.50973e+08, 107951
640000, 6.03146e+08, 114415
650000, 6.74107e+08, 111054
660000, 7.0686e+08, 112608
670000, 7.2203e+08, 108202
680000, 6.56523e+08, 122201
690000, 7.21913e+08, 114535
700000, 7.06406e+08, 118745
710000, 6.80571e+08, 111165
720000, 7.21466e+08, 121158
730000, 7.48953e+08, 107482
740000, 6.97828e+08, 119591
750000, 8.04544e+08, 114024
760000, 7.74108e+08, 116113
770000, 7.884e+08, 114207
780000, 7.77337e+08, 113991
790000, 7.79643e+08, 119061
800000, 8.08411e+08, 112875
810000, 7.19975e+08, 120645
820000, 8.52235e+08, 118537
830000, 8.10854e+08, 117576
840000, 8.76997e+08, 118787
850000, 9.09037e+08, 118429
860000, 8.19909e+08, 116747
870000, 8.23327e+08, 132078
880000, 8.58598e+08, 127330
890000, 8.81296e+08, 127657
900000, 9.35128e+08, 120445
910000, 8.975e+08, 127118
920000, 9.38954e+08, 119577
930000, 9.23704e+08, 117081
940000, 9.87869e+08, 115620
950000, 9.02664e+08, 113955
960000, 1.02282e+09, 115648
970000, 8.7712e+08, 121446
980000, 9.98182e+08, 154821
990000, 1.02898e+09, 119927
1000000, 9.85656e+08, 143849
